project_county_name,project_state,kabbage_total,total,percent,fips_code
ABBEVILLE,SC,8,324,0.024691358024691357,45001
ACADIA,LA,8,1306,0.006125574272588055,22001
ACCOMACK,VA,1,462,0.0021645021645021645,51001
ADA,ID,51,11258,0.004530111920412152,16001
ADAIR,KY,2,962,0.002079002079002079,19001
ADAIR,KY,2,962,0.002079002079002079,21001
ADAIR,KY,2,962,0.002079002079002079,29001
ADAIR,KY,2,962,0.002079002079002079,40001
ADAMS,CO,146,7481,0.019516107472263067,08001
ADAMS,CO,146,7481,0.019516107472263067,16003
ADAMS,CO,146,7481,0.019516107472263067,17001
ADAMS,CO,146,7481,0.019516107472263067,18001
ADAMS,CO,146,7481,0.019516107472263067,19003
ADAMS,CO,146,7481,0.019516107472263067,28001
ADAMS,CO,146,7481,0.019516107472263067,31001
ADAMS,CO,146,7481,0.019516107472263067,38001
ADAMS,CO,146,7481,0.019516107472263067,39001
ADAMS,CO,146,7481,0.019516107472263067,42001
ADAMS,CO,146,7481,0.019516107472263067,53001
ADAMS,CO,146,7481,0.019516107472263067,55001
ADAMS,IL,7,2240,0.003125,08001
ADAMS,IL,7,2240,0.003125,16003
ADAMS,IL,7,2240,0.003125,17001
ADAMS,IL,7,2240,0.003125,18001
ADAMS,IL,7,2240,0.003125,19003
ADAMS,IL,7,2240,0.003125,28001
ADAMS,IL,7,2240,0.003125,31001
ADAMS,IL,7,2240,0.003125,38001
ADAMS,IL,7,2240,0.003125,39001
ADAMS,IL,7,2240,0.003125,42001
ADAMS,IL,7,2240,0.003125,53001
ADAMS,IL,7,2240,0.003125,55001
ADAMS,IN,2,563,0.003552397868561279,08001
ADAMS,IN,2,563,0.003552397868561279,16003
ADAMS,IN,2,563,0.003552397868561279,17001
ADAMS,IN,2,563,0.003552397868561279,18001
ADAMS,IN,2,563,0.003552397868561279,19003
ADAMS,IN,2,563,0.003552397868561279,28001
ADAMS,IN,2,563,0.003552397868561279,31001
ADAMS,IN,2,563,0.003552397868561279,38001
ADAMS,IN,2,563,0.003552397868561279,39001
ADAMS,IN,2,563,0.003552397868561279,42001
ADAMS,IN,2,563,0.003552397868561279,53001
ADAMS,IN,2,563,0.003552397868561279,55001
ADAMS,MS,25,1096,0.02281021897810219,08001
ADAMS,MS,25,1096,0.02281021897810219,16003
ADAMS,MS,25,1096,0.02281021897810219,17001
ADAMS,MS,25,1096,0.02281021897810219,18001
ADAMS,MS,25,1096,0.02281021897810219,19003
ADAMS,MS,25,1096,0.02281021897810219,28001
ADAMS,MS,25,1096,0.02281021897810219,31001
ADAMS,MS,25,1096,0.02281021897810219,38001
ADAMS,MS,25,1096,0.02281021897810219,39001
ADAMS,MS,25,1096,0.02281021897810219,42001
ADAMS,MS,25,1096,0.02281021897810219,53001
ADAMS,MS,25,1096,0.02281021897810219,55001
ADAMS,OH,4,432,0.009259259259259259,08001
ADAMS,OH,4,432,0.009259259259259259,16003
ADAMS,OH,4,432,0.009259259259259259,17001
ADAMS,OH,4,432,0.009259259259259259,18001
ADAMS,OH,4,432,0.009259259259259259,19003
ADAMS,OH,4,432,0.009259259259259259,28001
ADAMS,OH,4,432,0.009259259259259259,31001
ADAMS,OH,4,432,0.009259259259259259,38001
ADAMS,OH,4,432,0.009259259259259259,39001
ADAMS,OH,4,432,0.009259259259259259,42001
ADAMS,OH,4,432,0.009259259259259259,53001
ADAMS,OH,4,432,0.009259259259259259,55001
ADAMS,PA,5,1313,0.003808073115003808,08001
ADAMS,PA,5,1313,0.003808073115003808,16003
ADAMS,PA,5,1313,0.003808073115003808,17001
ADAMS,PA,5,1313,0.003808073115003808,18001
ADAMS,PA,5,1313,0.003808073115003808,19003
ADAMS,PA,5,1313,0.003808073115003808,28001
ADAMS,PA,5,1313,0.003808073115003808,31001
ADAMS,PA,5,1313,0.003808073115003808,38001
ADAMS,PA,5,1313,0.003808073115003808,39001
ADAMS,PA,5,1313,0.003808073115003808,42001
ADAMS,PA,5,1313,0.003808073115003808,53001
ADAMS,PA,5,1313,0.003808073115003808,55001
ADAMS,WA,1,313,0.003194888178913738,08001
ADAMS,WA,1,313,0.003194888178913738,16003
ADAMS,WA,1,313,0.003194888178913738,17001
ADAMS,WA,1,313,0.003194888178913738,18001
ADAMS,WA,1,313,0.003194888178913738,19003
ADAMS,WA,1,313,0.003194888178913738,28001
ADAMS,WA,1,313,0.003194888178913738,31001
ADAMS,WA,1,313,0.003194888178913738,38001
ADAMS,WA,1,313,0.003194888178913738,39001
ADAMS,WA,1,313,0.003194888178913738,42001
ADAMS,WA,1,313,0.003194888178913738,53001
ADAMS,WA,1,313,0.003194888178913738,55001
AIKEN,SC,34,2415,0.014078674948240166,45003
ALACHUA,FL,156,5540,0.02815884476534296,12001
ALBANY,NY,64,6413,0.009979728676126618,36001
ALBANY,NY,64,6413,0.009979728676126618,56001
ALBANY,WY,3,724,0.004143646408839779,36001
ALBANY,WY,3,724,0.004143646408839779,56001
ALBEMARLE,VA,26,1803,0.014420410427066,51003
ALCONA,MI,2,134,0.014925373134328358,26001
ALCORN,MS,1,944,0.001059322033898305,28003
ALEUTIANS EAST,AK,1,72,0.013888888888888888,02013
ALEUTIANS WEST,AK,1,47,0.02127659574468085,NA
ALEXANDRIA CITY,VA,155,4860,0.03189300411522634,51510
ALLAMAKEE,IA,4,973,0.0041109969167523125,19005
ALLEGAN,MI,9,1637,0.005497861942577886,26005
ALLEGANY,MD,11,880,0.0125,24001
ALLEGANY,MD,11,880,0.0125,36003
ALLEGANY,NY,5,393,0.01272264631043257,24001
ALLEGANY,NY,5,393,0.01272264631043257,36003
ALLEGHENY,PA,246,24345,0.010104744300677758,42003
ALLEN,IN,66,6973,0.009465079592714757,18003
ALLEN,IN,66,6973,0.009465079592714757,20001
ALLEN,IN,66,6973,0.009465079592714757,21003
ALLEN,IN,66,6973,0.009465079592714757,22003
ALLEN,IN,66,6973,0.009465079592714757,39003
ALLEN,KS,6,421,0.014251781472684086,18003
ALLEN,KS,6,421,0.014251781472684086,20001
ALLEN,KS,6,421,0.014251781472684086,21003
ALLEN,KS,6,421,0.014251781472684086,22003
ALLEN,KS,6,421,0.014251781472684086,39003
ALLEN,KY,1,405,0.0024691358024691358,18003
ALLEN,KY,1,405,0.0024691358024691358,20001
ALLEN,KY,1,405,0.0024691358024691358,21003
ALLEN,KY,1,405,0.0024691358024691358,22003
ALLEN,KY,1,405,0.0024691358024691358,39003
ALLEN,LA,4,236,0.01694915254237288,18003
ALLEN,LA,4,236,0.01694915254237288,20001
ALLEN,LA,4,236,0.01694915254237288,21003
ALLEN,LA,4,236,0.01694915254237288,22003
ALLEN,LA,4,236,0.01694915254237288,39003
ALLEN,OH,5,1891,0.0026441036488630354,18003
ALLEN,OH,5,1891,0.0026441036488630354,20001
ALLEN,OH,5,1891,0.0026441036488630354,21003
ALLEN,OH,5,1891,0.0026441036488630354,22003
ALLEN,OH,5,1891,0.0026441036488630354,39003
ALLENDALE,SC,1,226,0.004424778761061947,45005
ALPENA,MI,3,465,0.0064516129032258064,26007
AMELIA,VA,2,230,0.008695652173913044,51007
AMHERST,VA,4,258,0.015503875968992248,51009
AMITE,MS,2,360,0.005555555555555556,28005
